address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,, ,300,, ,2021-03-06 15:51:54
2,28 MySQL Boulevard,, ,576,, ,2021-03-06 15:51:54
3,23 Workhaven Lane,, ,300,, ,2021-03-06 15:51:54
4,1411 Lillydale Drive,, ,576,, ,2021-03-06 15:51:54
5,1913 Hanoi Way,, ,463,35200, ,2021-03-06 15:51:54
6,1121 Loja Avenue,, ,449,17886, ,2021-03-06 15:51:54
7,692 Joliet Street,, ,38,83579, ,2021-03-06 15:51:54
8,1566 Inegl Manor,, ,349,53561, ,2021-03-06 15:51:54
9,53 Idfu Parkway,, ,361,42399, ,2021-03-06 15:51:54
10,1795 Santiago de Compostela Way,, ,295,18743, ,2021-03-06 15:51:54
11,900 Santiago de Compostela Parkway,, ,280,93896, ,2021-03-06 15:51:54
12,478 Joliet Way,, ,200,77948, ,2021-03-06 15:51:54
13,613 Korolev Drive,, ,329,45844, ,2021-03-06 15:51:54
14,1531 Sal Drive,, ,162,53628, ,2021-03-06 15:51:54
15,1542 Tarlac Parkway,, ,440,1027, ,2021-03-06 15:51:54
16,808 Bhopal Manor,, ,582,10672, ,2021-03-06 15:51:54
17,270 Amroha Parkway,, ,384,29610, ,2021-03-06 15:51:54
18,770 Bydgoszcz Avenue,, ,120,16266, ,2021-03-06 15:51:54
19,419 Iligan Lane,, ,76,72878, ,2021-03-06 15:51:54
20,360 Toulouse Parkway,, ,495,54308, ,2021-03-06 15:51:54
21,270 Toulon Boulevard,, ,156,81766, ,2021-03-06 15:51:54
22,320 Brest Avenue,, ,252,43331, ,2021-03-06 15:51:54
23,1417 Lancaster Avenue,, ,267,72192, ,2021-03-06 15:51:54
24,1688 Okara Way,, ,327,21954, ,2021-03-06 15:51:54
25,262 A Corua (La Corua) Parkway,, ,525,34418, ,2021-03-06 15:51:54
26,28 Charlotte Amalie Street,, ,443,37551, ,2021-03-06 15:51:54
27,1780 Hino Boulevard,, ,303,7716, ,2021-03-06 15:51:54
28,96 Tafuna Way,, ,128,99865, ,2021-03-06 15:51:54
29,934 San Felipe de Puerto Plata Street,, ,472,99780, ,2021-03-06 15:51:54
30,18 Duisburg Boulevard,, ,121,58327, ,2021-03-06 15:51:54
31,217 Botshabelo Place,, ,138,49521, ,2021-03-06 15:51:54
32,1425 Shikarpur Manor,, ,346,65599, ,2021-03-06 15:51:54
33,786 Aurora Avenue,, ,474,65750, ,2021-03-06 15:51:54
34,1668 Anpolis Street,, ,316,50199, ,2021-03-06 15:51:54
35,33 Gorontalo Way,, ,257,30348, ,2021-03-06 15:51:54
36,176 Mandaluyong Place,, ,239,65213, ,2021-03-06 15:51:54
37,127 Purnea (Purnia) Manor,, ,17,79388, ,2021-03-06 15:51:54
38,61 Tama Street,, ,284,94065, ,2021-03-06 15:51:54
39,391 Callao Drive,, ,544,34021, ,2021-03-06 15:51:54
40,334 Munger (Monghyr) Lane,, ,31,38145, ,2021-03-06 15:51:54
41,1440 Fukuyama Loop,, ,362,47929, ,2021-03-06 15:51:54
